"CATCH_COMP_ID","EVENT_ID","RACE_CODE","SPECIES_NAME_FIELD","COMMON_NAME","SCIENTIFIC_NAME","SCAL_SIZE_CLASS","CONDITION_CODE_RII","COUNT","SAMPLE_WT_KG","SAMPLE_TYPE","SAMPLER","BASKET_ID"
19826,"2016D02001","74120","Weathervane scallop","scallop, weathervane","Patinopecten caurinus","1","01",10,1.500000,"1","QTS, MDS, JDM, STS","AA"
19827,"2016D02001","74120","Weathervane scallop","scallop, weathervane","Patinopecten caurinus","1","01",6,1.090000,"1","QTS, MDS, JDM, STS","ZZ"
19828,"2016D02001","74120","Weathervane scallop","scallop, weathervane","Patinopecten caurinus","2","01",2,0.010000,"1","QTS, MDS, JDM, STS","PP"
19829,"2016D02001","99997","Unsorted catch and debris","unsorted catch and debris",,,,,21.560000,"1","QTS, MDS, JDM, STS",
19830,"2016D02001","80160","Sunflower sea star","sunflower sea star","Pycnopodia helianthoides",,,1,0.420000,"1","QTS, MDS, JDM, STS",
19831,"2016D02001","99997","Unsorted catch and debris","unsorted catch and debris",,,,,17.440000,"1","QTS, MDS, JDM, STS",
19832,"2016D02001","99997","Unsorted catch and debris","unsorted catch and debris",,,,,11.580000,"1","QTS, MDS, JDM, STS",
19833,"2016D02001","99997","Unsorted catch and debris","unsorted catch and debris",,,,,24.000000,"1","QTS, MDS, JDM, STS",
19834,"2016D02001","10130","Flathead sole","sole, flathead","Hippoglossoides elassodon",,,3,1.320000,"1","QTS, MDS, JDM, STS",
19835,"2016D02001","99997","Unsorted catch and debris","unsorted catch and debris",,,,,3.300000,"1","QTS, MDS, JDM, STS",
19836,"2016D02001","435","Bering skate","Sandpaper Skate","Bathyraja interrupta",,,2,4.060000,"1","QTS, MDS, JDM, STS",
19837,"2016D02001","66120","Sidestripe shrimp","shrimp, sidestriped","Pandalopsis dispar",,,3,0.050000,"1","QTS, MDS, JDM, STS",
19838,"2016D02001","66031","Pink shrimp","shrimp, northern (pink)","Pandalus borealis",,,1,0.040000,"1","QTS, MDS, JDM, STS",
19839,"2016D02002","74120","Weathervane scallop","scallop, weathervane","Patinopecten caurinus","1","01",1,0.220000,"1","QTS, MDS, JDM, STS","XX"
19840,"2016D02002","99997","Unsorted catch and debris","unsorted catch and debris",,,,,17.640000,"1","QTS, MDS, JDM, STS",
19841,"2016D02002","23010","Eulachon","smelt, eulachon","Thaleichthys pacificus",,,1,0.040000,"1","QTS, MDS, JDM, STS",
19842,"2016D02002","99997","Unsorted catch and debris","unsorted catch and debris",,,,,22.920000,"1","QTS, MDS, JDM, STS",
