"CATCH_COMP_ID","EVENT_ID","RACE_CODE","SPECIES_NAME_FIELD","COMMON_NAME","SCIENTIFIC_NAME","SCAL_SIZE_CLASS","CONDITION_CODE_RII","COUNT","SAMPLE_WT_KG","SAMPLE_TYPE","SAMPLER","BASKET_ID"
5724408,"2017D06001","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",10,3.290000,"1","JDM, NWN, MMB, SRW",
5724409,"2017D06001","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",4,0.980000,"1","JDM, NWN, MMB, SRW",
5724410,"2017D06001","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",10,0.260000,"1","JDM, NWN, MMB, SRW",
5724411,"2017D06001","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",3,0.080000,"1","JDM, NWN, MMB, SRW",
5724412,"2017D06001","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"52",1,0.090000,"1","JDM, NWN, MMB, SRW",
5724413,"2017D06001","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,0.280000,"1","JDM, NWN, MMB, SRW",
5724414,"2017D06001","99997","unsorted catch and debris","unsorted catch and debris",,,,,19.800000,"1","JDM, NWN, MMB, SRW",
5724415,"2017D06001","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,5,0.010000,"1","JDM, NWN, MMB, SRW",
5724416,"2017D06001","441","longnose skate egg case","longnose skate egg case","raja rhina egg case",,"01",1,0.090000,"1","JDM, NWN, MMB, SRW",
5724417,"2017D06002","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",20,7.300000,"1","JDM, NWN, MMB, SRW",
5724418,"2017D06002","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",1,0.350000,"1","JDM, NWN, MMB, SRW",
5724419,"2017D06002","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",10,3.530000,"1","JDM, NWN, MMB, SRW",
5724420,"2017D06002","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",8,0.090000,"1","JDM, NWN, MMB, SRW",
5724421,"2017D06002","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"52",2,0.400000,"1","JDM, NWN, MMB, SRW",
5724422,"2017D06002","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,0.750000,"1","JDM, NWN, MMB, SRW",
5724423,"2017D06002","99997","unsorted catch and debris","unsorted catch and debris",,,,,22.400000,"1","JDM, NWN, MMB, SRW",
5724424,"2017D06002","80160","sunflower sea star","sunflower sea star","Pycnopodia helianthoides",,,1,2.960000,"1","JDM, NWN, MMB, SRW",
5724425,"2017D06002","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,25,0.040000,"1","JDM, NWN, MMB, SRW",
5724426,"2017D06004","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",10,3.200000,"1","JDM, NWN, MMB, SRW",
5724427,"2017D06004","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",15,4.010000,"1","JDM, NWN, MMB, SRW",
5724428,"2017D06004","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",10,0.200000,"1","JDM, NWN, MMB, SRW",
5724429,"2017D06004","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",30,0.840000,"1","JDM, NWN, MMB, SRW",
5724430,"2017D06004","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",68,1.430000,"1","JDM, NWN, MMB, SRW",
5724431,"2017D06004","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"52",3,0.360000,"1","JDM, NWN, MMB, SRW",
5724432,"2017D06004","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,0.680000,"1","JDM, NWN, MMB, SRW",
5724433,"2017D06004","99997","unsorted catch and debris","unsorted catch and debris",,,,,20.600000,"1","JDM, NWN, MMB, SRW",
5724434,"2017D06004","80160","sunflower sea star","sunflower sea star","Pycnopodia helianthoides",,,1,2.410000,"1","JDM, NWN, MMB, SRW",
5724435,"2017D06004","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,21,0.070000,"1","JDM, NWN, MMB, SRW",
5724436,"2017D06004","435","Sandpaper Skate","Sandpaper Skate","Bathyraja interrupta",,,1,1.600000,"1","JDM, NWN, MMB, SRW",
5724437,"2017D06004","401","skate egg case unident.","skate egg case unident.",,,,1,0.130000,"1","JDM, NWN, MMB, SRW",
5724438,"2017D06005","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",5,1.370000,"1","JDM, NWN, MMB, SRW",
5724439,"2017D06005","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",4,0.060000,"1","JDM, NWN, MMB, SRW",
5724440,"2017D06005","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,0.350000,"1","JDM, NWN, MMB, SRW",
5724441,"2017D06005","99997","unsorted catch and debris","unsorted catch and debris",,,,,41.300000,"1","JDM, NWN, MMB, SRW",
5724442,"2017D06005","99997","unsorted catch and debris","unsorted catch and debris",,,,,13.000000,"2","JDM, NWN, MMB, SRW",
5724443,"2017D06005","99997","unsorted catch and debris","unsorted catch and debris",,,,,30.000000,"1","JDM, NWN, MMB, SRW",
5724444,"2017D06005","99997","unsorted catch and debris","unsorted catch and debris",,,,,25.300000,"1","JDM, NWN, MMB, SRW",
5724445,"2017D06005","401","skate egg case unident.","skate egg case unident.",,,,3,0.008000,"1","JDM, NWN, MMB, SRW",
5724446,"2017D06005","435","Sandpaper Skate","Sandpaper Skate","Bathyraja interrupta",,,2,2.020000,"1","JDM, NWN, MMB, SRW",
5724447,"2017D06005","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,4,0.005000,"2","JDM, NWN, MMB, SRW",
5724448,"2017D06006","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",10,1.750000,"1","JDM, NWN, MMB, SRW",
5724449,"2017D06006","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",2,0.190000,"1","JDM, NWN, MMB, SRW",
5724450,"2017D06006","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",2,0.220000,"1","JDM, NWN, MMB, SRW",
5724451,"2017D06006","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",10,0.240000,"1","JDM, NWN, MMB, SRW",
5724452,"2017D06006","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",30,0.440000,"1","JDM, NWN, MMB, SRW",
5724453,"2017D06006","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",155,3.300000,"1","JDM, NWN, MMB, SRW",
5724454,"2017D06006","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",1,0.030000,"1","JDM, NWN, MMB, SRW",
5724455,"2017D06006","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,0.210000,"1","JDM, NWN, MMB, SRW",
5724456,"2017D06006","99997","unsorted catch and debris","unsorted catch and debris",,,,,28.040000,"1","JDM, NWN, MMB, SRW",
5724457,"2017D06006","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,6,0.060000,"2","JDM, NWN, MMB, SRW",
5724458,"2017D06006","10120","halibut, Pacific","halibut, Pacific","Hippoglossus stenolepis",,,1,1.290000,"1","JDM, NWN, MMB, SRW",
5724459,"2017D06006","10130","sole, flathead","sole, flathead","Hippoglossoides elassodon",,,4,0.440000,"1","JDM, NWN, MMB, SRW",
5724460,"2017D06006","10270","sole, butter","sole, butter","Isopsetta isolepis",,,2,0.360000,"1","JDM, NWN, MMB, SRW",
5724461,"2017D06006","10285","flounder, Alaska plaice","flounder, Alaska plaice","Pleuronectes quadrituberculatus",,,1,1.420000,"1","JDM, NWN, MMB, SRW",
5724462,"2017D06006","21740","pollock, walleye","pollock, walleye","Theragra chalcogramma",,,1,0.030000,"1","JDM, NWN, MMB, SRW",
5724463,"2017D06006","421","Big skate egg case","Big skate egg case","Raja binoculata egg case",,,2,0.980000,"1","JDM, NWN, MMB, SRW",
5724464,"2017D06006","99997","unsorted catch and debris","unsorted catch and debris",,,,,2.730000,"2","JDM, NWN, MMB, SRW",
5724465,"2017D06006","99997","unsorted catch and debris","unsorted catch and debris",,,,,12.580000,"1","JDM, NWN, MMB, SRW",
5724466,"2017D06006","99997","unsorted catch and debris","unsorted catch and debris",,,,,8.020000,"1","JDM, NWN, MMB, SRW",
5724467,"2017D06007","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",30,8.340000,"1","JDM, NWN, MMB, SRW",
5724468,"2017D06007","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",10,2.900000,"1","JDM, NWN, MMB, SRW",
5724469,"2017D06007","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",40,10.120000,"1","JDM, NWN, MMB, SRW",
5724470,"2017D06007","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",84,2.530000,"1","JDM, NWN, MMB, SRW",
5724471,"2017D06007","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",10,0.210000,"1","JDM, NWN, MMB, SRW",
5724472,"2017D06007","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",30,0.600000,"1","JDM, NWN, MMB, SRW",
5724473,"2017D06007","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,0.870000,"1","JDM, NWN, MMB, SRW",
5724474,"2017D06007","99997","unsorted catch and debris","unsorted catch and debris",,,,,15.080000,"1","JDM, NWN, MMB, SRW",
5724475,"2017D06007","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,15,0.060000,"1","JDM, NWN, MMB, SRW",
5724476,"2017D06008","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",10,2.390000,"1","JDM, NWN, MMB, SRW",
5724477,"2017D06008","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",18,4.530000,"1","JDM, NWN, MMB, SRW",
5724478,"2017D06008","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",10,0.110000,"1","JDM, NWN, MMB, SRW",
5724479,"2017D06008","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",30,0.590000,"1","JDM, NWN, MMB, SRW",
5724480,"2017D06008","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",14,0.300000,"1","JDM, NWN, MMB, SRW",
5724481,"2017D06008","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,2.400000,"1","JDM, NWN, MMB, SRW",
5724482,"2017D06008","99997","unsorted catch and debris","unsorted catch and debris",,,,,21.200000,"1","JDM, NWN, MMB, SRW",
5724483,"2017D06008","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,16,0.020000,"1","JDM, NWN, MMB, SRW",
5724484,"2017D06008","435","Sandpaper Skate","Sandpaper Skate","Bathyraja interrupta",,,1,2.360000,"1","JDM, NWN, MMB, SRW",
5724485,"2017D06008","435","Sandpaper Skate","Sandpaper Skate","Bathyraja interrupta",,,2,3.220000,"1","JDM, NWN, MMB, SRW",
5724486,"2017D06008","10285","flounder, Alaska plaice","flounder, Alaska plaice","Pleuronectes quadrituberculatus",,,1,1.780000,"1","JDM, NWN, MMB, SRW",
5724487,"2017D06009","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",10,2.750000,"1","JDM, NWN, MMB, SRW",
5724488,"2017D06009","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","1","01",9,2.060000,"1","JDM, NWN, MMB, SRW",
5724489,"2017D06009","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",10,0.150000,"1","JDM, NWN, MMB, SRW",
5724490,"2017D06009","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus","2","01",25,0.700000,"1","JDM, NWN, MMB, SRW",
5724491,"2017D06009","74120","scallop, weathervane","scallop, weathervane","Patinopecten caurinus",,"99",,0.760000,"1","JDM, NWN, MMB, SRW",
5724492,"2017D06009","99997","unsorted catch and debris","unsorted catch and debris",,,,,9.800000,"1","JDM, NWN, MMB, SRW",
5724493,"2017D06009","68560","crab, Tanner, bairdi","crab, Tanner, bairdi","Chionoecetes bairdi",,,11,0.020000,"1","JDM, NWN, MMB, SRW",
5724494,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,24.580000,"1","JDM, NWN, MMB, SRW",
5724495,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,34.700000,"1","JDM, NWN, MMB, SRW",
5724496,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,33.800000,"1","JDM, NWN, MMB, SRW",
5724497,"2017D06010","99997","unsorted catch and debris","unsorted catch and debris",,,,,33.180000,"1","JDM, NWN, MMB, SRW",
